Address,ReferenceAddress,Translation
100BCE48,,無効
100BCE54,,有効
100BD114,,快晴
100BD11C,,霧雨
100BD124,,曇天
100BD12C,,蒼天
100BD138,,雹
100BD140,,花曇
100BD14C,,濃霧
100BD158,,雪
100BD160,,天気雨
100BD16C,,疎雨
100BD178,,風雨
100BD180,,晴嵐
100BD18C,,川霧
100BD198,,台風
100BD1A0,,凪
100BD1A8,,ダイヤモンドダスト
100BD1B8,,黄砂
100BD1C4,,烈日
100BD1D4,,梅雨
100BD1DC,,極光
100BD1E4,,緋想天
100A7EC0,,天候予報
100BD1F8,,0フレーム
100BD204,,1フレーム
100BD20C,,2フレーム
100BD218,,3フレーム
100BD224,,4フレーム
100BD230,,5フレーム
100BD23C,,6フレーム
100BD248,,7フレーム
100BD254,,8フレーム
100BD74C,,9フレーム
100BD758,,10フレーム
100BD26C,,通常
,1005C48E,通常
100BD274,,無限
100BD298,,未消費
100BD2C0,,高速回復
100BD314,,トレーニングダミー
100BD324,,1P 操作
100BD334,,2P 操作
100BD344,,CPU
100BD348,,CPU V2
100BD350,,アーケード
100BD368,,立ち
100BD370,,しゃがみ
100BD378,,ジャンプ
100BD380,,ハイジャンプ
100A7F14,,左端
100BD394,,左付近
100BD3A0,,中央
100BD3A8,,右付近
100A7F1C,,右端
100BD3C0,,防御しない
100BD3CC,,全て防御
100BD3D8,,ランダム防御
100BD3E8,,2段目以降防御
100BD400,,初段のみ防御
100BD420,,完全ガード
100BD434,,立ちガード
100BD440,,しゃがみガード
100BD44C,,ランダム [立ち / しゃがみ]
100BD470,,常時
100BD484,,前
100BD48C,,後
100BD494,,ランダム [前 / 後]
100BD4A8,,ランダム [前 / 受身しない]
100BD4C0,,ランダム [後 / 受身しない]
100BD50C,,接地直前
100BD520,,その場
100BD528,,ランダム [その場 / 前]
100BD540,,ランダム [その場 / 後]
100BD574,,大凶
100BD590,,凶
100BD5A0,,吉
100BD5B4,,大吉
100BD5E4,,無限
100BD628,,1発
100BD634,,2発
100BD640,,3発
100BD64C,,4発
100BD658,,5発
100BD664,,6発
100BD670,,7発
100BD67C,,8発
100BD688,,9発
100BD694,,10発
100BD6A0,,11発
100BD6AC,,12発
100BD6B8,,13発
100BD6E0,,Level 1
100BD6E8,,Level 2
100BD6F0,,Level 3
100BD6F8,,Level 4
100BAC88,,ランダム
,1005C4B6,ランダム
,1005B7A1,ランダム [前 / 後 / 受身なし]
,1005BB61,ランダム [前 / 後 / その場]
,1005BE00,ランダム
,1005C4B6,ランダム
100BCD68,,繰り返し
100BCEC4,,DP
100BD76C,,2結界
100BD780,,1結界
100BD798,,4結界
100BD7B0,,6結界
100BD7C8,,カード使用
100BD7D4,,ランダムマクロ
100BD7F0,,霊撃札
100BD814,,垂直ジャンプ
100BD81C,,垂直ハイジャンプ
100BD824,,後ジャンプ
100BD834,,後ハイジャンプ
100BD840,,前ジャンプ
100BD850,,前ハイジャンプ
100BCF08,,前ダッシュ
100BD85C,,後ダッシュ
100BD874,,空中4結界
100BD890,,空中6結界
100BD8BC,,J5A
100BD93C,,Classic
100BD944,,Soku.like
100BD978,,FullScreen
100BD984,,Minimalistic
100A7B6C,,なし
100BCF1C,,龍魚の羽衣
100BCEBC,,マクロ
100BCEE8,,J44
100BCEEC,,J66
100BC354,,最大
100BD80C,,4A
100BD810,,2A
,1005b8a5,0フレーム
,1005b8b9,1フレーム
,1005b8cd,2フレーム
,1005b8e1,3フレーム
,1005b8f5,4フレーム
,1005b909,5フレーム
,1005b91d,6フレーム
,1005b931,7フレーム
,1005b945,8フレーム
,1005b959,9フレーム
,1005b96d,10フレーム
,1005b981,11フレーム
,1005b995,12フレーム
,1005b9a9,13フレーム
,1005b9bd,14フレーム
,1005b9d1,15フレーム
,1005b9e5,16フレーム
,1005b9f9,17フレーム
,1005ba11,18フレーム
,1005ba21,19フレーム
,1005ba35,20フレーム
